SWIFT CODE;NAME;ADDRESS
CEDPBGSFXXX;CENTRAL DEPOSITORY AD;TRI USHI STREET 6  SOFIA, SOFIA, 1000
CELFCLR1XXX;BTG PACTUAL CHILE SA CORREDORES DE BOLSA;  
CESDMTM1XXX;CENTRAL SECURITIES DEPOSITORY, THE;27 PIETRO FLORIANI STREET  FLORIANA, IL-FURJANA, FRN 1060
CFACUYMMXXX;BANDES URUGUAY S.A.;ZABALA 1338  MONTEVIDEO, MONTEVIDEO, 11200
CFCOUYM1XXX;CENTRO FINANCIERO COOPERATIVO;SARANDI 402  MONTEVIDEO, MONTEVIDEO, 11000
CFMOMCMXXXX;CFM INDOSUEZ WEALTH;11 BOULEVARD ALBERT IER  MONACO, MONACO, 98012
CFPCCLR1XXX;CORPORACION FOMENTO DE LA PRODUCCION;  
CHASCLRMXXX;JPMORGAN CHASE BANK, N.A., SANTIAGO BRANCH;AV. APOQUINDO 2827, FLOOR 13 LAS CONDES - SANTIAGO, PROVINCIA DE SANTIAGO, 7590956
CISRMTM1XXX;W AND J COPPINI INVESTMENT SERVICES LIMITED;FLOOR 1 58 MERCHANTS STREET VALLETTA, VALLETTA, VLT 1173
CITIBGSFTRD;CITIBANK EUROPE PLC, BULGARIA BRANCH;SITNYAKOVO BLVD 48 SERDIKA OFFICES, FLOOR 10 SOFIA, SOFIA, 1505
CITIBGSFXXX;CITIBANK EUROPE PLC, BULGARIA BRANCH;SITNYAKOVO BLVD 48 SERDIKA OFFICES, FLOOR 10 SOFIA, SOFIA, 1505
CITIPLPXXXX;BANK HANDLOWY W WARSZAWIE SA;SENATORSKA 16  WARSZAWA, MAZOWIECKIE, 00-923
CITIUYMMCOL;CITIBANK N.A. URUGUAY;  COLONIA, COLONIA
CITIUYMMPDE;CITIBANK N.A. URUGUAY;  PUNTA DEL ESTE, MALDONADO, 20000
CITIUYMMXXX;CITIBANK N.A. URUGUAY;CERRITO 455 CIUDAD VIEJA MONTEVIDEO, MONTEVIDEO, 11000
CJNOUYM1XXX;CAJA NOTARIAL DE JUBILACIONES Y PENSIONES;18 DE JULIO 1730 FLOOR 10 MONTEVIDEO, MONTEVIDEO, 11200
CJPBUYM1XXX;CAJA DE JUBILACIONES Y PENSIONES BANCARIAS;CIRCUNVALACION DURANGO 314  MONTEVIDEO, MONTEVIDEO, 11000
CJPPUYM1XXX;CAJA DE PROFESIONALES UNIVERSITARIOS;ANDES 1521  MONTEVIDEO, MONTEVIDEO, 11100
CLSMMCM1XXX;CAPITALIA LUXEMBOURG S.A.;LES VILLAS DEL SOLE 47-49 BOULEVARD D'ITALIE MONACO, MONACO, 98007
CMBAAWAXXXX;CARIBBEAN MERCANTILE BANK N.V.;KAYA GILBERTO FRANCOIS CROES 53 ORANJESTAD, ORANJESTAD-WEST AND ORANJESTAD-EAST
CMBMMCMXXXX;CMB MONACO;17 AVENUE DES SPELUGUES  MONACO, MONACO, 98000
CMCIMCM1LYB;CM-CIC MONACO;26 BOULEVARD PRINCESSE CHARLOTTE  MONACO, MONACO, 98000
CMCIMCM1XXX;CM-CIC MONACO;RUE GRIMALDI  MONACO, MONACO, 98000
CMMDMCM1XXX;CREDIT MOBILIER DE MONACO;15 AVENUE DE GRANDE BRETAGNE  MONACO, MONACO, 98000
CNCCCLR1XXX;CORPORACION NACIONAL DEL COBRE DE CHILE;  
CNCOCLR1XXX;CONSORCIO CORREDORES DE BOLSA S.A.;EL BOSQUE SUR 130, FLOOR 13 EDIFICIO CONSORCIO - SANTIAGO PROVINCIA DE SANTIAGO, 8320000
COMEUYMMALL;SCOTIABANK URUGUAY S.A.;  MONTEVIDEO, MONTEVIDEO
COMEUYMMXXX;SCOTIABANK URUGUAY S.A.;MISIONES 1399  MONTEVIDEO, MONTEVIDEO, 11000
CONBCLRMXXX;BANCO ITAU CHILE;PRESIDENTE RIESCO 5537, FLOOR 7 EDIFICIO NUEVA LAS CONDES, LAS SANTIAGO, PROVINCIA DE SANTIAGO
